samples	Groups
ANE_004_05M	Gr02
ANE_004_40M	Gr02
ANE_150_05M	Gr02
ANE_150_40M	Gr02
ANE_151_05M	Gr02
ANE_151_80M	Gr02
ANE_152_05M	Gr02
ANW_141_05M	Gr01
ANW_142_05M	Gr02
ANW_145_05M	Gr02
ANW_146_05M	Gr02
ANW_148_05M	Gr02
ANW_149_05M	Gr02
ASE_66_05M	Gr02
ASE_66_30M	Gr02
ASE_67_05M	Gr02
ASE_68_05M	Gr02
ASE_68_50M	Gr02
ASE_70_05M	Gr02
ASW_72_05M	Gr01
ASW_72_100M	Gr02
ASW_76_05M	Gr01
ASW_78_05M	Gr01
ASW_82_05M	Gr02
ASW_82_40M	Gr02
ION_36_05M	Gr01
ION_36_17M	Gr01
ION_38_05M	Gr01
ION_38_25M	Gr01
ION_39_25M	Gr01
ION_41_05M	Gr01
ION_41_60M	Gr01
ION_42_05M	Gr01
ION_42_80M	Gr02
ION_45_05M	Gr01
ION_48_05M	Gr01
IOS_52_05M	Gr01
IOS_52_75M	Gr01
IOS_56_05M	Gr01
IOS_57_05M	Gr01
IOS_58_66M	Gr01
IOS_62_05M	Gr01
IOS_64_05M	Gr01
IOS_64_65M	Gr01
IOS_65_05M	Gr01
IOS_65_30M	Gr01
MED_18_05M	Gr01
MED_18_60M	Gr01
MED_23_05M	Gr02
MED_25_05M	Gr02
MED_25_50M	Gr02
MED_30_05M	Gr01
MED_30_70M	Gr01
PON_132_05M	Gr01
PON_133_05M	Gr02
PON_133_45M	Gr02
PON_137_05M	Gr01
PON_137_40M	Gr02
PON_138_05M	Gr01
PON_138_60M	Gr02
PON_140_05M	Gr01
PSE_100_05M	Gr02
PSE_100_50M	Gr02
PSE_102_05M	Gr01
PSE_102_40M	Gr01
PSE_109_05M	Gr01
PSE_109_30M	Gr01
PSE_110_05M	Gr01
PSE_110_50M	Gr01
PSE_111_05M	Gr02
PSE_111_90M	Gr02
PSE_93_05M	Gr02
PSE_93_35M	Gr02
PSE_94_05M	Gr02
PSE_96_05M	Gr02
PSE_98_05M	Gr02
PSE_99_05M	Gr02
PSW_112_05M	Gr02
PSW_122_05M	Gr02
PSW_123_05M	Gr01
PSW_124_05M	Gr01
PSW_125_05M	Gr01
PSW_128_05M	Gr01
PSW_128_40M	Gr01
RED_31_05M	Gr01
RED_32_05M	Gr01
RED_32_80M	Gr01
RED_33_05M	Gr01
RED_34_05M	Gr01
RED_34_60M	Gr02
SOC_84_05M	Gr02
SOC_85_05M	Gr02
SOC_85_90M	Gr02
