samples	region	ocean	Mean_Lat	Mean_Long	Mean_Depth	Mean_Temperature	Mean_Salinity	Mean_Oxygen	Mean_Nitrates	NO2	PO4	NO2NO3	SI
ANE_004_05M	ANE	Atlantic	36.55	-6.57	10	20.5	36.6	NA	NA	NA	NA	NA	NA
ANE_004_40M	ANE	Atlantic	36.57	-6.54	38.7	16.2	36.6	NA	NA	NA	NA	NA	NA
ANE_150_05M	ANE	Atlantic	35.91	-37.26	5.5	17.6	36.3	228.4	-0.3	0.04	0.01	0.17	0.84
ANE_150_40M	ANE	Atlantic	35.75	-37.05	39.8	17.7	36.2	230.1	1.2	0.04	0	0.17	0.84
ANE_151_05M	ANE	Atlantic	36.16	-29.01	5.4	17.3	36.2	232.1	0.3	0.02	0.01	0.02	0.65
ANE_151_80M	ANE	Atlantic	36.19	-28.88	77.6	16.8	36.2	228.5	1.6	0.01	0.01	0.05	0.63
ANE_152_05M	ANE	Atlantic	43.69	-16.85	5.4	14.3	36	243.1	3	0.31	0.16	2.16	1.24
ANW_141_05M	ANW	Atlantic	9.85	-80.04	5.4	27.1	34.3	195.5	-1.7	0	0.01	0	2.93
ANW_142_05M	ANW	Atlantic	25.51	-88.38	5.4	25	36.2	194.3	-2.2	0.02	0	0.05	1.22
ANW_145_05M	ANW	Atlantic	39.23	-70.03	5.5	14.1	35.2	233.9	3.5	0.11	0.35	4.38	2.77
ANW_146_05M	ANW	Atlantic	34.68	-71.3	11.7	19.1	36.5	214.4	0.9	0.22	0.02	0.74	0.94
ANW_148_05M	ANW	Atlantic	31.7	-64.25	6.1	20.4	36.6	212.6	NA	0.09	0	0.15	0.73
ANW_149_05M	ANW	Atlantic	34.1	-49.89	5.5	18.7	36.4	220.2	-1.2	0.25	0.06	0.68	0.8
ASE_66_05M	ASE	Atlantic	-34.94	17.94	5.4	15	35.3	238.9	2.5	0.3	0.34	3.34	2.74
ASE_66_30M	ASE	Atlantic	-34.89	18.07	28.6	15	35.3	240.4	NA	0.26	0.37	3.23	2.47
ASE_67_05M	ASE	Atlantic	-32.23	17.71	5.5	12.8	34.8	249.4	0.4	0.17	1.02	7.09	13.88
ASE_68_05M	ASE	Atlantic	-31.03	4.69	5.4	16.8	35.7	231.9	NA	0.25	0.23	1.3	2.6
ASE_68_50M	ASE	Atlantic	-31.03	4.69	40.3	16.8	35.7	231.7	NA	0.29	0.23	1.08	2.44
ASE_70_05M	ASE	Atlantic	-20.44	-3.19	5.4	19.8	36.4	215.7	0.2	0.05	0.36	0.99	1.36
ASW_72_05M	ASW	Atlantic	-8.78	-17.91	5.8	25	36.4	199.1	0.3	0	0.1	0.02	0.87
ASW_72_100M	ASW	Atlantic	-8.7	-17.94	95.4	24.1	36.6	194.4	0.2	0.01	0.14	0.04	1.32
ASW_76_05M	ASW	Atlantic	-20.94	-35.2	5.5	23.3	37.1	206.2	0	0	0.06	0	0.81
ASW_78_05M	ASW	Atlantic	-30.14	-43.29	5.6	19.9	36.3	221.5	-0.4	0	0	0.02	0.48
ASW_82_05M	ASW	Atlantic	-47.18	-58.3	5.5	7.3	34	305	17.1	0.15	1.3	18.15	1.82
ASW_82_40M	ASW	Atlantic	-47.21	-58.06	41.8	7	34.1	306.2	17.1	0.14	1.42	19.07	3.08
ION_36_05M	ION	Indian	20.82	63.5	5.5	25.6	36.5	210.9	NA	0.05	0.37	0.13	1.2
ION_36_17M	ION	Indian	20.82	63.51	17.4	25.4	36.5	211.6	0.4	0.51	0.51	2.08	1.79
ION_38_05M	ION	Indian	19.04	64.49	5.5	26.2	36.6	199.9	0.9	0.01	0.32	0.06	1.18
ION_38_25M	ION	Indian	19.03	64.62	25.3	25.5	NA	154.7	1.2	0.7	0.42	1.86	1.63
ION_39_25M	ION	Indian	18.57	66.49	25.3	26.8	36.3	193	-0.6	0.02	0.26	0.09	1.28
ION_41_05M	ION	Indian	14.6	69.98	5.5	29.1	36	187.4	-1.3	0	0.14	0.09	1.47
ION_41_60M	ION	Indian	14.56	70.01	58.2	27.1	36.5	148.3	-0.2	0.07	0.34	0.49	1.38
ION_42_05M	ION	Indian	6.03	73.89	5.4	30	34.6	189.3	-1.5	0	0.08	0.03	2.21
ION_42_80M	ION	Indian	6	73.9	79	27.7	35.1	132.8	0.6	0.15	0.34	1.39	3.2
ION_45_05M	ION	Indian	0	71.64	5.5	30.5	35.1	185.2	2.6	0.02	1.94	28.64	15.14
ION_48_05M	ION	Indian	-9.39	66.42	5.4	29.8	34.2	187.3	-2.2	0.01	0.08	0.06	2.12
